word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,followed,4.4%,me,3.3%,if,3.3%
and,here,1.27%,rita,1.07%,you,0.97%
the,of,8.54%,in,7.82%,to,5.29%
at,look,4.07%,looked,3.62%,glance,2.26%
for,now,1.79%,not,1.79%,life,1.79%
montfort,miss,35.94%,jim,10.94%,captain,9.38%
rita,cried,9.09%,said,6.93%,to,4.33%
her,of,9.81%,to,6.61%,in,4.9%
of,one,1.46%,daughter,1.12%,you,0.9%
i,that,4.09%,and,3.59%,but,2.73%
know,i,39.34%,you,24.59%,not,8.2%
in,was,2.57%,here,2.37%,and,1.38%
if,as,19.01%,that,4.13%,and,3.31%
this,of,8.15%,in,5.98%,to,4.35%
to,me,2.2%,you,1.87%,go,1.87%
my,of,13.45%,in,5.88%,to,5.04%
can,i,42.86%,you,14.29%,what,4.76%
only,had,5.77%,was,5.77%,rita,3.85%
them,of,14.53%,with,3.42%,among,3.42%
some,with,9.52%,of,6.35%,to,4.76%
one,some,8.26%,was,5.5%,in,4.59%
they,as,5.42%,and,4.82%,that,3.61%
will,i,19.46%,you,17.45%,she,4.03%
that,in,2.5%,and,2.22%,to,1.94%
were,they,25.47%,we,5.66%,you,2.83%
like,would,5.26%,you,5.26%,be,3.95%
on,hand,3.74%,and,3.21%,went,2.67%
life,for,16.39%,her,16.39%,my,14.75%
a,in,6.34%,was,6.23%,of,5.34%
child,a,16.67%,my,14.81%,the,9.26%
from,come,3.76%,her,3.01%,out,3.01%
said,she,22.7%,he,21.62%,have,2.7%
young,the,25.86%,a,13.79%,this,10.34%
it,is,3.83%,of,3.83%,that,2.48%
was,it,16.89%,she,10.36%,he,9.68%
don,of,10.39%,and,3.9%,to,3.9%
are,you,25.2%,they,12.6%,we,10.24%
you,do,4.76%,to,4.19%,and,4.0%
your,of,7.41%,to,7.41%,me,4.63%
as,well,2.53%,him,2.53%,soon,2.11%
his,in,8.63%,of,7.19%,on,3.96%
me,to,12.96%,let,10.19%,for,7.87%
these,of,6.67%,all,6.67%,for,5.0%
is,it,23.6%,he,9.32%,she,5.9%
see,to,19.05%,i,15.48%,you,13.1%
when,well,3.57%,fire,3.57%,you,3.57%
go,to,14.08%,i,11.27%,must,11.27%
what,but,9.84%,know,4.1%,and,3.28%
do,to,20.39%,i,8.74%,you,6.8%
she,that,7.36%,and,6.18%,as,5.46%
more,no,14.47%,once,6.58%,a,5.26%
we,when,5.56%,if,5.56%,and,4.63%
all,and,9.49%,with,6.33%,at,5.06%
now,and,7.14%,was,4.46%,even,4.46%
time,the,14.04%,first,8.77%,this,8.77%
here,were,4.59%,is,3.67%,stay,3.67%
there,and,9.0%,but,9.0%,all,3.0%
so,be,6.12%,you,5.1%,it,4.08%
into,fell,6.78%,out,3.39%,fall,3.39%
their,of,10.98%,on,6.1%,at,6.1%
with,it,2.48%,me,1.55%,but,1.55%
or,two,4.29%,more,4.29%,alive,2.86%
would,she,18.45%,it,11.65%,i,7.77%
have,i,28.44%,you,10.55%,would,9.17%
not,could,12.5%,did,8.04%,is,6.7%
must,i,29.41%,you,14.71%,we,8.82%
but,it,3.2%,me,1.6%,said,1.6%
be,to,24.87%,will,10.88%,would,9.33%
dear,my,31.58%,you,7.02%,the,5.26%
no,have,7.86%,was,6.43%,had,5.71%
who,rita,5.77%,peasants,3.85%,maiden,3.85%
out,broke,6.25%,and,4.69%,rang,4.69%
little,a,39.36%,the,13.83%,my,3.19%
poor,my,16.98%,the,9.43%,her,5.66%
how,know,5.66%,you,3.77%,yet,3.77%
good,a,24.78%,the,15.04%,my,3.54%
then,and,17.05%,since,4.55%,how,3.41%
am,i,92.0%,and,2.67%,mischief,1.33%
could,i,23.17%,you,12.2%,she,9.76%
an,is,7.79%,with,7.79%,of,7.79%
he,and,5.44%,that,4.83%,if,3.63%
old,the,27.45%,an,11.76%,poor,7.84%
him,for,6.82%,to,5.3%,tell,5.3%
come,have,11.94%,had,10.45%,to,10.45%
man,a,22.64%,young,18.87%,old,16.98%
well,be,11.54%,as,10.26%,is,8.97%
had,she,19.7%,he,10.84%,they,6.4%
been,had,39.24%,have,29.11%,has,8.86%
hand,her,15.69%,his,11.76%,in,7.84%
up,looked,5.8%,burn,4.35%,him,4.35%
eyes,her,29.23%,his,16.92%,blue,7.69%
did,i,17.31%,you,7.69%,he,7.69%
